"CUSTOMER_NO","CUSTOMER_NAME","ORDER_NO","LINE_NO","REL_NO","LINE_STATE","AGREEMENT_ID","CATALOG_NO","CATALOG_DESC","CONDITION_CODE","IFSAPP.CONDITION_CODE_API.GET_DESCRIPTION(CONDITION_CODE)","CONTRACT","BUY_QTY_DUE","IFSAPP.SALES_PART_API.GET_SALES_UNIT_MEAS(L.CONTRACT,L.CATALOG_NO)","(L.BUY_QTY_DUE+(L.QTY_SHIPDIFF/DECODE(L.CONV_FACTOR,0,1,L.CONV_FACTOR*L.INVERTED_CONV_FACTOR))-L.QTY_INVOICED)*L.PRICE_CONV_FACT","IFSAPP.SALES_PART_API.GET_PRICE_UNIT_MEAS(L.CONTRACT,L.CATALOG_NO)","NVL(L.BASE_SALE_UNIT_PRICE,0)*((100-NVL(L.DISCOUNT,0))/100)*((100-NVL(L.ORDER_DISCOUNT,0))/100)*((100-NVL(L.ADDITIONAL_DISCOUNT,","PLANNED_DELIVERY_DATE","IFSAPP.CUSTOMER_ORDER_LINE_API.GET_BACKLOG_VALUE_BASE_CURR__(ORDER_NO,LINE_NO,REL_NO,LINE_ITEM_NO)","IFSAPP.COMPANY_FINANCE_API.GET_CURRENCY_CODE(IFSAPP.SITE_API.GET_COMPANY(L.CONTRACT))","IFSAPP.CUST_ORD_CUSTOMER_API.GET_CUST_GRP(L.CUSTOMER_NO)","IFSAPP.SALES_PART_API.GET_CATALOG_GROUP(L.CONTRACT,L.CATALOG_NO)","REGION_CODE","DISTRICT_CODE","MARKET_CODE","DECODE(L.DEFAULT_ADDR_FLAG_DB,'N',DECODE(L.ADDR_FLAG_DB,'Y',IFSAPP.CUST_ORDER_LINE_ADDRESS_API.GET_COUNTRY_CODE(L.ORDER_NO,L.LIN","SALESMAN_CODE","AUTHORIZE_CODE","PRICE_LIST_NO","PRIORITY","LINE_ITEM_NO"
"PHA415","Central Hospital LTD","C240282","54","1","Reserved","","CFL139","Lanalok Cream (Luliconazole) 30g","","","GSH1N","6","PACKS","6","PACKS","1538.5","7/30/2026","9231","LKR","PVTHOS","ADCOCK","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","55","1","Reserved","","TIL15","NEUTROSEC Tab's (30's)","","","GSH1N","3","PACKS","3","PACKS","2532.06","7/30/2026","7596.18","LKR","PVTHOS","TIL HEALTH","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","56","1","Reserved","","PUL140","Font Active Renal HP Powder 90g (4's)","","","GSH1N","3","PACKS","3","PACKS","6201.793","7/30/2026","18605.38","LKR","PVTHOS","UL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","57","1","Reserved","","PUL139","Font Active Renal LP Powder 87g (4's)","","","GSH1N","3","PACKS","3","PACKS","5006.25","7/30/2026","15018.75","LKR","PVTHOS","UL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","58","1","Reserved","","PUL138","Font Active Complete Vanilla Powder 400g","","","GSH1N","6","CAN","6","CAN","4445.84","7/30/2026","26675.04","LKR","PVTHOS","UL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","59","1","Reserved","","PUL137","CeeZinc Syrup 120ml (1's)","","","GSH1N","3","BOT","3","BOT","994.195","7/30/2026","2982.59","LKR","PVTHOS","UL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"PHA415","Central Hospital LTD","C240282","60","1","Reserved","","SWISS10","Swicet-L Tab's 5mg (Levocetrizine) (100's)","","","GSH1N","1","PACKS","1","PACKS","1025.65","7/30/2026","1025.65","LKR","PVTHOS","UL-SWISS","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"GVI017","State Pharmaceuticals Corporation","C240238","1","1","Reserved","","TIL05","Bifilac Cap's (10's)","","","GSH1N","10","PACKS","10","PACKS","1162.0194","7/30/2026","11620.19","LKR","GOVINS","TIL HEALTH","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240238","2","1","Reserved","","TIL03","COBA-1000 Inj. 10ml (1's)","","","GSH1N","10","VLS","10","VLS","188","7/30/2026","1880","LKR","GOVINS","TIL HEALTH","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240238","3","1","Reserved","","FDN121","Esofred 40mg - 30's","","","GSH1N","20","PACKS","20","PACKS","818.2","7/30/2026","16364","LKR","GOVINS","FDN BL","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"PVH111","Durdans Medical & Surgical Hospital (Pvt) Ltd","C240289","1","1","Reserved","","C0932558","DAFILON BLUE 2/0 (3) 75CM DS39       DDP","","","GSH1N","24","PCS","24","PCS","963.94","7/30/2026","23134.56","LKR","PVTHOS","NBQ-BBSL","","","","LK","","GEMABE050","INST NEW","","0"
"PVH111","Durdans Medical & Surgical Hospital (Pvt) Ltd","C240289","2","1","Reserved","","C0068408","NOVOSYN VIOLET 0 (3.5)70CM JR36SS (M)DDP","","","GSH1N","24","PCS","24","PCS","2869.45","7/30/2026","68866.8","LKR","PVTHOS","NBQ-BBSL","","","","LK","","GEMABE050","INST NEW","","0"
