"CUSTOMER_NO","CUSTOMER_NAME","ORDER_NO","LINE_NO","REL_NO","LINE_STATE","AGREEMENT_ID","CATALOG_NO","CATALOG_DESC","CONDITION_CODE","IFSAPP.CONDITION_CODE_API.GET_DESCRIPTION(CONDITION_CODE)","CONTRACT","BUY_QTY_DUE","IFSAPP.SALES_PART_API.GET_SALES_UNIT_MEAS(L.CONTRACT,L.CATALOG_NO)","(L.BUY_QTY_DUE+(L.QTY_SHIPDIFF/DECODE(L.CONV_FACTOR,0,1,L.CONV_FACTOR*L.INVERTED_CONV_FACTOR))-L.QTY_INVOICED)*L.PRICE_CONV_FACT","IFSAPP.SALES_PART_API.GET_PRICE_UNIT_MEAS(L.CONTRACT,L.CATALOG_NO)","NVL(L.BASE_SALE_UNIT_PRICE,0)*((100-NVL(L.DISCOUNT,0))/100)*((100-NVL(L.ORDER_DISCOUNT,0))/100)*((100-NVL(L.ADDITIONAL_DISCOUNT,","PLANNED_DELIVERY_DATE","IFSAPP.CUSTOMER_ORDER_LINE_API.GET_BACKLOG_VALUE_BASE_CURR__(ORDER_NO,LINE_NO,REL_NO,LINE_ITEM_NO)","IFSAPP.COMPANY_FINANCE_API.GET_CURRENCY_CODE(IFSAPP.SITE_API.GET_COMPANY(L.CONTRACT))","IFSAPP.CUST_ORD_CUSTOMER_API.GET_CUST_GRP(L.CUSTOMER_NO)","IFSAPP.SALES_PART_API.GET_CATALOG_GROUP(L.CONTRACT,L.CATALOG_NO)","REGION_CODE","DISTRICT_CODE","MARKET_CODE","DECODE(L.DEFAULT_ADDR_FLAG_DB,'N',DECODE(L.ADDR_FLAG_DB,'Y',IFSAPP.CUST_ORDER_LINE_ADDRESS_API.GET_COUNTRY_CODE(L.ORDER_NO,L.LIN","SALESMAN_CODE","AUTHORIZE_CODE","PRICE_LIST_NO","PRIORITY","LINE_ITEM_NO"
"STAFF RECEIVABLE","STAFF RECEIVABLE","C240272","1","1","Reserved","","UBPL22","Lenid 10mg Cap-30's","","","GSH1N","1","PACKS","1","PACKS","28090.9","7/30/2026","28090.9","LKR","STAFF RECE","UNITED BIO","","","","LK","","GEMABE050","","","0"
"SUNDRY DEBTORS","Sundry Debtors","C240273","1","1","Reserved","","SNZ01-F","Pubergen 5000 IU Inj. (1's) - (FG)","","","GSH1N","100","PCS","100","PCS","0","7/30/2026","0","LKR","SUNDRY","SNZ","","","SUNDRY","LK","","GEMABE050","","","0"
"SUNDRY DEBTORS","Sundry Debtors","C240273","2","1","Reserved","","LAC008-F","Foscal - Tablets (2x15's)-(FG)","","","GSH1N","94","PACKS","94","PACKS","0","7/30/2026","0","LKR","SUNDRY","LACTO","","","SUNDRY","LK","","GEMABE050","","","0"
"SUNDRY DEBTORS","Sundry Debtors","C240274","1","1","Reserved","","PUN215-SA","Cilacar Tab's 5mg (30's) (SAMPLE)","","","GSH1N","4","PACKS","4","PACKS","0","7/30/2026","0","LKR","SUNDRY","ARR U (A)","","","SUNDRY","LK","","GEMABE050","","","0"
"GVI017","State Pharmaceuticals Corporation","C240276","1","1","Reserved","","CAR005","Fusiway B-15g-1's","","","GSH1N","6","TUB","6","TUB","667.5","7/30/2026","4005","LKR","GOVINS","CARA","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240276","2","1","Reserved","","CFL130","Futop B Cream 10gm","","","GSH1N","3","TUB","3","TUB","1012.8","7/30/2026","3038.4","LKR","GOVINS","ADCOCK","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240276","3","1","Reserved","","PUN109","Nicardia Retard 10mg 100's","","","GSH1N","3","PACKS","3","PACKS","1217.9","7/30/2026","3653.7","LKR","GOVINS","ARR U (B)","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240276","4","1","Reserved","","PNQ037","Vagibact Cream 40gm","","","GSH1N","2","TUB","2","TUB","1787.2","7/30/2026","3574.4","LKR","GOVINS","NABIQASIM","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240279","1","1","Reserved","","MEDO02","ARFEN Supps. 125mg (Paracetamol) (10's)","","","GSH1N","1","PACKS","1","PACKS","931.6","7/30/2026","931.6","LKR","GOVINS","MEDOCHEM","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"PVH052","Lions Sight First Hospital","C240285","1","1","Reserved","","AA001","Appavisc-PFS 3ml","","","GSH1N","100","PCS","100","PCS","1000","7/30/2026","100000","LKR","PVTHOS","APP-PFS","","","","LK","","GEMABE050","","","0"
"GVI017","State Pharmaceuticals Corporation","C240279","3","1","Reserved","","CFL137","Cosmelite Cream 15gm","","","GSH1N","2","TUB","2","TUB","3794.9","7/30/2026","7589.8","LKR","GOVINS","ADCOCK","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240279","4","1","Reserved","","PUN128","Dicloran Gel 20gm","","","GSH1N","6","TUB","6","TUB","393.16","7/30/2026","2358.96","LKR","GOVINS","ARR U (A)","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240279","5","1","Reserved","","SWISS01","Folee-1 (FOLIC ACID Tab BP 1mg) (30's)","","","GSH1N","25","PACKS","25","PACKS","149.6","7/30/2026","3740","LKR","GOVINS","UL-SWISS","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240279","6","1","Reserved","","PNQ057","IVATAB Tab's 5mg (28's)","","","GSH1N","5","PACKS","5","PACKS","765.8","7/30/2026","3829","LKR","GOVINS","NBQNC","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240279","7","1","Reserved","","PNQ048","Neurogab 100mg 100's","","","GSH1N","20","PACKS","20","PACKS","1187.8","7/30/2026","23756","LKR","GOVINS","NQ BL","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240279","8","1","Reserved","","PUN110","Nicardia-XL-30mg 30's","","","GSH1N","10","PACKS","10","PACKS","1369.05","7/30/2026","13690.5","LKR","GOVINS","ARRB2U","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240279","9","1","Reserved","","PUL105","Solmux Forte Susp. 60ml","","","GSH1N","2","BOT","2","BOT","1253","7/30/2026","2506","LKR","GOVINS","UL SALE","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240279","10","1","Reserved","","PIC002","Thermoseal R.A. 50gm","","","GSH1N","2","TUB","2","TUB","554.113","7/30/2026","1108.23","LKR","GOVINS","ICPA - SAL","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"PVO123","Vindana Reproductive Health Centre (Pvt) Ltd,","C240286","1","1","Reserved","","SWISS09","Swilide Tab's 500mg (Azithromycin) (15's)","","","GSH1N","10","PACKS","10","PACKS","1128.212","7/30/2026","11282.12","LKR","PVT ORG","UL-SWISS","","","PVT ORG","LK","","GEMABE050","","","0"
"PVO123","Vindana Reproductive Health Centre (Pvt) Ltd,","C240286","2","1","Reserved","","SWISS09-F","Swilide Tab's 500mg (Azithromycin) (15's) (FG)","","","GSH1N","2","PACKS","2","PACKS","0","7/30/2026","0","LKR","PVT ORG","UL-SWISS","","","PVT ORG","LK","","GEMABE050","","","0"
"ARM003","Sri Lanka Navy Medical","C240294","1","1","Reserved","","CFL131","Rovate Lotion 30ml","","","GSH1N","250","BOT","250","BOT","603.8","7/30/2026","150950","LKR","ARMED FORC","ADCOCK","","","ARMED FORC","LK","","GEMABE050","","","0"
"ARM003","Sri Lanka Navy Medical","C240294","2","1","Reserved","","CEN110","Translipo - C  20gm","","","GSH1N","300","TUB","300","TUB","239.32","7/30/2026","71796","LKR","ARMED FORC","CENTAUR PH","","","ARMED FORC","LK","","GEMABE050","","","0"
"ARM003","Sri Lanka Navy Medical","C240294","3","1","Reserved","","CAR006","Fusiway H-15g-1's","","","GSH1N","100","TUB","100","TUB","303","7/30/2026","30300","LKR","ARMED FORC","CARA","","","ARMED FORC","LK","","GEMABE050","","","0"
"ARM003","Sri Lanka Navy Medical","C240294","4","1","Reserved","","PUN130","Metrogyl Gel 30g","","","GSH1N","250","TUB","250","TUB","567.4","7/30/2026","141850","LKR","ARMED FORC","ARR U (B)","","","ARMED FORC","LK","","GEMABE050","","","0"
"SUNDRY DEBTORS","Sundry Debtors","C240262","1","1","Reserved","","PIC010-F","Hexigel 15gm-(FG)","","","GSH1N","3","TUB","3","TUB","0","7/30/2026","0","LKR","SUNDRY","ICPA - SAL","","","SUNDRY","LK","","GEMABE050","","","0"
"DIS001","Apex Med Pharmaceuticals","C240266","1","1","Reserved","","SNZ02","Endogen HP 75 IU Inj. (1's)","","","GSH1N","20","VLS","20","VLS","2532.5","7/30/2026","50650","LKR","DISTRI","SNZ","","","DISTRI","LK","PM","GEMABE050","","","0"
"DIS031","New Eastern Distributor","C240268","1","1","Reserved","","SNZ02","Endogen HP 75 IU Inj. (1's)","","","GSH1N","20","VLS","20","VLS","2532.5","7/30/2026","50650","LKR","DISTRI","SNZ","","","DISTRI","LK","PM","GEMABE050","","","0"
"SPM003","Laugfs Supermarkets (Pvt) Ltd.","C240142","2","2","Reserved","","PUN174","Panum 40mg Tab's (100's)","","","GSH1N","5","PACKS","5","PACKS","3101","7/30/2026","15505","LKR","SUPER MARK","ARR U (B)","","","SUPER MARK","LK","","GEMABE050","","","0"
"PVO071","CFC Health Care (Pvt)Ltd.","C240280","1","1","Reserved","","PUL138","Font Active Complete Vanilla Powder 400g","","","GSH1N","12","CAN","12","CAN","4445.8411","7/30/2026","53350.09","LKR","PVT ORG","UL SALE","","","PVT ORG","LK","","GEMABE050","","","0"
"SUNDRY DEBTORS","Sundry Debtors","C240106","1","1","Reserved","","GMS","BG-Pro Blood Glucose Monitoring System (GM56A) (F)","","","GSH1N","1","PCS","1","PCS","0","7/28/2026","0","LKR","SUNDRY","GLUCOMETER","","","SUNDRY","LK","","GEMABE050","","","0"
"SPM003","Laugfs Supermarkets (Pvt) Ltd.","C240142","1","1","Reserved","","PUN206","Nebilol Tab's 5mg 100's","","","GSH1N","1","PACKS","1","PACKS","6488.9","7/28/2026","6488.9","LKR","SUPER MARK","ARR U (B)","","","SUPER MARK","LK","","GEMABE050","","","0"
"SUNDRY DEBTORS","Sundry Debtors","C239641","1","1","Reserved","","PBL141-F","Belcid Suspension 240ml-(FG)","","","GSH1N","5","BOT","5","BOT","0","7/22/2026","0","LKR","SUNDRY","BL SALE","","","SUNDRY","LK","","GEMABE050","","","0"
"DIS002","The West Central Pharma (Pvt) Ltd.","C240086","1","1","Reserved","","PUN206","Nebilol Tab's 5mg 100's","","","GSH1N","80","PACKS","80","PACKS","6008.2","7/28/2026","480656","LKR","DISTRI","ARR U (B)","","","DISTRI","LK","","GEMABE050","","","0"
"DIS002","The West Central Pharma (Pvt) Ltd.","C240206","1","1","Reserved","","PUN215","Cilacar Tab's 5mg (30's)","","","GSH1N","300","PACKS","300","PACKS","1135.6","7/30/2026","340680","LKR","DISTRI","ARR U (A)","","","DISTRI","LK","","GEMABE050","","","0"
"DIS002","The West Central Pharma (Pvt) Ltd.","C240206","2","1","Reserved","","PUN216","Cilacar Tab's 10mg (30's)","","","GSH1N","300","PACKS","300","PACKS","1471.98","7/30/2026","441594","LKR","DISTRI","ARR U (A)","","","DISTRI","LK","","GEMABE050","","","0"
